Any,Provincia,Comarca,CDMUN,Municipi,Codi_Sector,Descripcio_Sector,Consum [kWh],Observacions
2013,BARCELONA,BERGUEDA,08024,BORREDA,6,TERCIARI,1078955,
2013,BARCELONA,BERGUEDA,08024,BORREDA,7,USOS DOMESTICS,861542,
2013,BARCELONA,ANOIA,08025,"BRUC, EL",1,PRIMARI,26956,
2013,BARCELONA,ANOIA,08025,"BRUC, EL",3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08025,"BRUC, EL",4,CONSTRUCCIO I OBRES PUBLIQUES,40209,
2013,BARCELONA,ANOIA,08025,"BRUC, EL",6,TERCIARI,3571548,
2013,BARCELONA,ANOIA,08025,"BRUC, EL",7,USOS DOMESTICS,3502962,
2013,BARCELONA,OSONA,08026,"BRULL, EL",1,PRIMARI,237443,
2013,BARCELONA,OSONA,08026,"BRULL, EL",3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,OSONA,08026,"BRULL, EL",4,CONSTRUCCIO I OBRES PUBLIQUES,15172,
2013,BARCELONA,OSONA,08026,"BRULL, EL",6,TERCIARI,868628,
2013,BARCELONA,OSONA,08026,"BRULL, EL",7,USOS DOMESTICS,370585,
2013,BARCELONA,ALT PENEDES,08027,"CABANYES, LES",3,INDUSTRIAL,134982,
2013,BARCELONA,ALT PENEDES,08027,"CABANYES, LES",4,CONSTRUCCIO I OBRES PUBLIQUES,18282,
2013,BARCELONA,ALT PENEDES,08027,"CABANYES, LES",6,TERCIARI,1105991,
2013,BARCELONA,ALT PENEDES,08027,"CABANYES, LES",7,USOS DOMESTICS,1777161,
2013,BARCELONA,ANOIA,08028,CABRERA D'ANOIA,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08028,CABRERA D'ANOIA,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08028,CABRERA D'ANOIA,4,CONSTRUCCIO I OBRES PUBLIQUES,132843,
2013,BARCELONA,ANOIA,08028,CABRERA D'ANOIA,6,TERCIARI,1692746,
2013,BARCELONA,ANOIA,08028,CABRERA D'ANOIA,7,USOS DOMESTICS,1850621,
2013,BARCELONA,MARESME,08029,CABRERA DE MAR,1,PRIMARI,720545,
2013,BARCELONA,MARESME,08029,CABRERA DE MAR,3,INDUSTRIAL,12982400,
2013,BARCELONA,MARESME,08029,CABRERA DE MAR,4,CONSTRUCCIO I OBRES PUBLIQUES,102746,
2013,BARCELONA,MARESME,08029,CABRERA DE MAR,6,TERCIARI,18162543,
2013,BARCELONA,MARESME,08029,CABRERA DE MAR,7,USOS DOMESTICS,8565579,
2013,BARCELONA,MARESME,08030,CABRILS,1,PRIMARI,207745,
2013,BARCELONA,MARESME,08030,CABRILS,3,INDUSTRIAL,849956,
2013,BARCELONA,MARESME,08030,CABRILS,4,CONSTRUCCIO I OBRES PUBLIQUES,146995,
2013,BARCELONA,MARESME,08030,CABRILS,6,TERCIARI,6820020,
2013,BARCELONA,MARESME,08030,CABRILS,7,USOS DOMESTICS,13517796,
2013,BARCELONA,ANOIA,08031,CALAF,1,PRIMARI,276798,
2013,BARCELONA,ANOIA,08031,CALAF,3,INDUSTRIAL,10971088,
2013,BARCELONA,ANOIA,08031,CALAF,4,CONSTRUCCIO I OBRES PUBLIQUES,335296,
2013,BARCELONA,ANOIA,08031,CALAF,5,TRANSPORT,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08031,CALAF,6,TERCIARI,3944662,
2013,BARCELONA,ANOIA,08031,CALAF,7,USOS DOMESTICS,4464022,
2013,BARCELONA,MARESME,08032,CALDES D'ESTRAC,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,MARESME,08032,CALDES D'ESTRAC,3,INDUSTRIAL,27113,
2013,BARCELONA,MARESME,08032,CALDES D'ESTRAC,4,CONSTRUCCIO I OBRES PUBLIQUES,49005,
2013,BARCELONA,MARESME,08032,CALDES D'ESTRAC,6,TERCIARI,3394977,
2013,BARCELONA,MARESME,08032,CALDES D'ESTRAC,7,USOS DOMESTICS,4768266,
2013,BARCELONA,VALLES ORIENTAL,08033,CALDES DE MONTBUI,1,PRIMARI,1630776,
2013,BARCELONA,VALLES ORIENTAL,08033,CALDES DE MONTBUI,3,INDUSTRIAL,23556126,
2013,BARCELONA,VALLES ORIENTAL,08033,CALDES DE MONTBUI,4,CONSTRUCCIO I OBRES PUBLIQUES,1605217,
2013,BARCELONA,VALLES ORIENTAL,08033,CALDES DE MONTBUI,6,TERCIARI,21461559,
2013,BARCELONA,VALLES ORIENTAL,08033,CALDES DE MONTBUI,7,USOS DOMESTICS,26100661,
2013,BARCELONA,MOIANES,08034,CALDERS,1,PRIMARI,155399,
2013,BARCELONA,MOIANES,08034,CALDERS,3,INDUSTRIAL,40041,
2013,BARCELONA,MOIANES,08034,CALDERS,4,CONSTRUCCIO I OBRES PUBLIQUES,33174,
2013,BARCELONA,MOIANES,08034,CALDERS,6,TERCIARI,1107469,
2013,BARCELONA,MOIANES,08034,CALDERS,7,USOS DOMESTICS,1555787,
2013,BARCELONA,MARESME,08035,CALELLA,1,PRIMARI,22674,
2013,BARCELONA,MARESME,08035,CALELLA,3,INDUSTRIAL,432482,
2013,BARCELONA,MARESME,08035,CALELLA,4,CONSTRUCCIO I OBRES PUBLIQUES,144404,
2013,BARCELONA,MARESME,08035,CALELLA,6,TERCIARI,43476686,
2013,BARCELONA,MARESME,08035,CALELLA,7,USOS DOMESTICS,25903026,
2013,BARCELONA,ANOIA,08036,CALONGE DE SEGARRA,1,PRIMARI,194073,
2013,BARCELONA,ANOIA,08036,CALONGE DE SEGARRA,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08036,CALONGE DE SEGARRA,4,CONSTRUCCIO I OBRES PUBLIQUES,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08036,CALONGE DE SEGARRA,6,TERCIARI,230863,
2013,BARCELONA,ANOIA,08036,CALONGE DE SEGARRA,7,USOS DOMESTICS,315697,
2013,BARCELONA,OSONA,08037,CALLDETENES,1,PRIMARI,179430,
2013,BARCELONA,OSONA,08037,CALLDETENES,3,INDUSTRIAL,2011552,
2013,BARCELONA,OSONA,08037,CALLDETENES,4,CONSTRUCCIO I OBRES PUBLIQUES,42685,
2013,BARCELONA,OSONA,08037,CALLDETENES,6,TERCIARI,2280184,
2013,BARCELONA,OSONA,08037,CALLDETENES,7,USOS DOMESTICS,3759581,
2013,BARCELONA,BAGES,08038,CALLUS,1,PRIMARI,55973,
2013,BARCELONA,BAGES,08038,CALLUS,3,INDUSTRIAL,320217,
2013,BARCELONA,BAGES,08038,CALLUS,4,CONSTRUCCIO I OBRES PUBLIQUES,18884,
2013,BARCELONA,BAGES,08038,CALLUS,6,TERCIARI,1547605,
2013,BARCELONA,BAGES,08038,CALLUS,7,USOS DOMESTICS,3203151,
2013,BARCELONA,VALLES ORIENTAL,08039,CAMPINS,4,CONSTRUCCIO I OBRES PUBLIQUES,,Dada subjecta a secret estadístic.
2013,BARCELONA,VALLES ORIENTAL,08039,CAMPINS,6,TERCIARI,590458,
2013,BARCELONA,VALLES ORIENTAL,08039,CAMPINS,7,USOS DOMESTICS,1266456,
2013,BARCELONA,MARESME,08040,CANET DE MAR,1,PRIMARI,18521,
2013,BARCELONA,MARESME,08040,CANET DE MAR,3,INDUSTRIAL,2366889,
2013,BARCELONA,MARESME,08040,CANET DE MAR,4,CONSTRUCCIO I OBRES PUBLIQUES,87802,
2013,BARCELONA,MARESME,08040,CANET DE MAR,6,TERCIARI,12318333,
2013,BARCELONA,MARESME,08040,CANET DE MAR,7,USOS DOMESTICS,18660528,
2013,BARCELONA,VALLES ORIENTAL,08041,CANOVELLES,1,PRIMARI,12313,
2013,BARCELONA,VALLES ORIENTAL,08041,CANOVELLES,3,INDUSTRIAL,29585594,
2013,BARCELONA,VALLES ORIENTAL,08041,CANOVELLES,4,CONSTRUCCIO I OBRES PUBLIQUES,166990,
2013,BARCELONA,VALLES ORIENTAL,08041,CANOVELLES,6,TERCIARI,19906548,
2013,BARCELONA,VALLES ORIENTAL,08041,CANOVELLES,7,USOS DOMESTICS,17109827,
2013,BARCELONA,VALLES ORIENTAL,08042,CANOVES I SAMALUS,1,PRIMARI,42773,
2013,BARCELONA,VALLES ORIENTAL,08042,CANOVES I SAMALUS,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,VALLES ORIENTAL,08042,CANOVES I SAMALUS,4,CONSTRUCCIO I OBRES PUBLIQUES,169047,
2013,BARCELONA,VALLES ORIENTAL,08042,CANOVES I SAMALUS,6,TERCIARI,1332754,
2013,BARCELONA,VALLES ORIENTAL,08042,CANOVES I SAMALUS,7,USOS DOMESTICS,4425048,
